   EMP-09	2026-08-10 16:03:04	1	1	1	0
   EMP-10	2026-08-10 18:00:16	1	1	1	0
   EMP-10	2026-08-10 18:01:07	1	0	1	0
   EMP-10	2026-08-10 18:01:34	1	1	1	0
   EMP-01	2026-08-10 18:09:42	1	1	1	0
  EMP-014	2026-08-10 18:15:42	1	1	1	0
   EMP-11	2026-08-10 21:51:48	1	0	1	0
   EMP-11	2026-08-10 21:51:51	1	0	1	0
   EMP-11	2026-08-10 21:55:19	1	0	1	0
   EMP-11	2026-08-10 21:55:27	1	0	1	0
   EMP-10	2026-08-11 09:19:48	1	0	1	0
   EMP-01	2026-08-11 09:19:57	1	0	1	0
   EMP-09	2026-08-11 09:20:04	1	0	1	0
   EMP-11	2026-08-11 09:26:17	1	0	1	0
   EMP-08	2026-08-11 09:47:59	1	0	1	0
  EMP-014	2026-08-11 09:51:40	1	0	1	0
   EMP-25	2026-08-11 10:58:48	1	0	1	0
   EMP-25	2026-08-11 10:58:49	1	0	1	0
   EMP-10	2026-08-11 12:29:36	1	0	1	0
   EMP-09	2026-08-11 16:06:55	1	1	1	0
        š	2026-08-11 16:16:45	1	1	1	0
        š	2026-08-11 16:17:00	1	1	1	0
        
	2026-08-11 16:37:36	1	0	1	0
        6	2026-08-11 16:46:06	1	0	1	0
        6	2026-08-11 16:46:19	1	0	1	0
        6	2026-08-11 16:50:54	1	0	1	0
        6	2026-08-11 16:58:29	1	0	1	0
   EMP-54	2026-08-11 17:00:33	1	0	1	0
   EMP-13	2026-08-11 17:05:52	1	0	1	0
   EMP-18	2026-08-11 17:10:41	1	0	1	0
   EMP-15	2026-08-11 17:17:53	1	1	1	0
   EMP-11	2026-08-11 17:57:12	1	1	1	0
   EMP-11	2026-08-11 17:57:29	1	1	1	0
   EMP-54	2026-08-11 18:09:58	1	1	1	0
   EMP-01	2026-08-11 18:10:09	1	1	1	0
   EMP-15	2026-08-11 18:10:44	1	1	1	0
  EMP-014	2026-08-11 18:11:29	1	1	1	0
   EMP-13	2026-08-11 18:11:38	1	1	1	0
   EMP-09	2026-08-12 08:49:47	1	1	1	0
   EMP-01	2026-08-12 08:50:29	1	1	1	0
   EMP-10	2026-08-12 09:45:35	1	0	1	0
   EMP-11	2026-08-12 11:51:08	1	0	1	0
   EMP-15	2026-08-12 12:15:24	1	0	1	0
   EMP-13	2026-08-12 12:15:40	1	0	1	0
   EMP-54	2026-08-12 12:16:58	1	0	1	0
   EMP-18	2026-08-12 12:29:45	1	0	1	0
   EMP-09	2026-08-12 16:10:35	1	0	1	0
   EMP-10	2026-08-12 18:09:04	1	0	1	0
   EMP-01	2026-08-12 18:10:02	1	1	1	0
   EMP-54	2026-08-12 18:16:57	1	1	1	0
   EMP-15	2026-08-12 18:23:42	1	1	1	0
   EMP-13	2026-08-12 18:24:00	1	1	1	0
   EMP-13	2026-08-12 18:24:01	1	1	1	0
   EMP-13	2026-08-12 18:24:04	1	1	1	0
   EMP-13	2026-08-12 18:24:07	1	1	1	0
   EMP-13	2026-08-12 18:24:09	1	1	1	0
   EMP-13	2026-08-12 18:24:11	1	1	1	0
   EMP-13	2026-08-12 18:24:15	1	1	1	0
   EMP-13	2026-08-12 18:24:27	1	1	1	0
   EMP-13	2026-08-12 18:24:29	1	1	1	0
   EMP-13	2026-08-12 18:24:41	1	1	1	0
   EMP-13	2026-08-12 18:24:50	1	1	1	0
   EMP-09	2026-08-13 08:31:07	1	1	1	0
   EMP-01	2026-08-13 08:43:52	1	1	1	0
   EMP-10	2026-08-13 09:04:44	1	1	1	0
  EMP-014	2026-08-13 09:17:33	1	1	1	0
   EMP-13	2026-08-13 09:17:50	1	1	1	0
   EMP-15	2026-08-13 11:10:40	1	1	1	0
